category,n,acc_text,acc_img,pct_changed
Race_x_gender,15960,0.5401629072681704,0.4807017543859649,0.22343358395989976
Race_x_SES,11160,0.492921146953405,0.46586021505376346,0.1650537634408602
Race_ethnicity,6880,0.5905523255813954,0.49447674418604654,0.24200581395348839
SES,6864,0.6072261072261073,0.5480769230769231,0.1982808857808858
Gender_identity,5672,0.5692877291960508,0.502820874471086,0.2404795486600846
Age,3680,0.5220108695652174,0.4407608695652174,0.22092391304347825
Nationality,3080,0.576948051948052,0.5269480519480519,0.2038961038961039
Physical_appearance,1576,0.4536802030456853,0.41814720812182743,0.16624365482233502
Disability_status,1556,0.4877892030848329,0.43766066838046275,0.16838046272493573
Religion,1200,0.58,0.5275,0.2075
Sexual_orientation,864,0.5648148148148148,0.47453703703703703,0.22453703703703703
